"","None","BBC","RMT"
"1",0.879,0.061,0.053
"2",0.904,0.074,0.07
"3",0.944,0.117,0.083
"4",0.969,0.172,0.111
"5",0.979,0.293,0.193
"6",0.994,0.447,0.295
"7",0.998,0.636,0.52
"8",1,0.801,0.715
"9",1,0.929,0.856
"10",1,0.98,0.957
