"","None","BBC","RMT"
"1",1,0.411,0.054
"2",1,0.446,0.053
"3",1,0.419,0.057
"4",1,0.466,0.053
"5",1,0.524,0.067
"6",1,0.601,0.079
"7",1,0.649,0.099
"8",1,0.716,0.136
"9",1,0.761,0.166
"10",1,0.828,0.228
"11",1,0.883,0.323
"12",1,0.931,0.412
"13",1,0.961,0.531
"14",1,0.983,0.658
"15",1,0.996,0.768
"16",1,0.997,0.863
"17",1,0.998,0.914
"18",1,1,0.963
"19",1,1,0.985
"20",1,1,0.997
