"","None","BBC","RMT"
"1",0.998,0.047,0.042
"2",0.998,0.055,0.052
"3",0.997,0.065,0.048
"4",0.999,0.079,0.066
"5",0.998,0.084,0.068
"6",0.999,0.116,0.083
"7",1,0.162,0.088
"8",0.999,0.211,0.126
"9",1,0.26,0.167
"10",1,0.337,0.245
"11",1,0.403,0.301
"12",1,0.517,0.395
"13",1,0.649,0.522
"14",1,0.713,0.623
"15",1,0.831,0.73
"16",1,0.895,0.83
"17",1,0.942,0.913
"18",1,0.978,0.964
"19",1,0.993,0.975
"20",1,0.998,0.991
