"","None","BBC","RMT"
"1",1,0.109,0.055
"2",1,0.143,0.032
"3",1,0.169,0.068
"4",1,0.222,0.062
"5",1,0.294,0.097
"6",1,0.378,0.151
"7",1,0.466,0.167
"8",1,0.611,0.287
"9",1,0.687,0.396
"10",1,0.832,0.527
"11",1,0.9,0.655
"12",1,0.939,0.758
"13",1,0.974,0.88
"14",1,0.992,0.937
"15",1,0.998,0.978
"16",1,0.999,0.998
"17",1,1,0.998
"18",1,1,1
"19",1,1,1
"20",1,1,1
