"","None","BBC","RMT"
"1",1,0.125,0.043
"2",1,0.16,0.042
"3",1,0.217,0.059
"4",1,0.264,0.085
"5",1,0.358,0.151
"6",1,0.48,0.234
"7",1,0.673,0.359
"8",1,0.786,0.534
"9",1,0.915,0.714
"10",1,0.974,0.88
"11",1,0.995,0.972
