"","None","BBC","RMT"
"1",0.995,0.051,0.056
"2",0.996,0.047,0.055
"3",0.998,0.075,0.062
"4",0.999,0.095,0.069
"5",0.999,0.125,0.088
"6",1,0.191,0.104
"7",1,0.265,0.197
"8",1,0.366,0.274
"9",1,0.489,0.385
"10",1,0.613,0.504
"11",1,0.737,0.663
"12",1,0.868,0.807
"13",1,0.926,0.909
"14",1,0.972,0.941
"15",1,0.992,0.979
