"","None","BBC","RMT"
"1",0.89,0.044,0.047
"2",0.916,0.102,0.077
"3",0.963,0.163,0.125
"4",0.988,0.304,0.217
"5",0.996,0.554,0.445
"6",1,0.771,0.67
"7",1,0.928,0.865
"8",1,0.985,0.975
"9",1,0.998,0.997
"10",1,0.999,1
